number,title,difficulty,acceptance,family,statement_brief,url,slug,source_list
94,Binary Tree Inorder Traversal,Easy,80.0%,DFS traversal,Return the inorder traversal of a binary tree's node values.,https://leetcode.com/problems/binary-tree-inorder-traversal/,binary-tree-inorder-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
95,Unique Binary Search Trees II,Medium,62.4%,Tree generation / Catalan,Generate every structurally unique BST containing values 1..n.,https://leetcode.com/problems/unique-binary-search-trees-ii/,unique-binary-search-trees-ii,"uploaded LeetCode Binary Tree list, full 180 paste"
96,Unique Binary Search Trees,Medium,63.7%,Counting / Catalan DP,Count how many structurally unique BSTs can store values 1..n.,https://leetcode.com/problems/unique-binary-search-trees/,unique-binary-search-trees,"uploaded LeetCode Binary Tree list, full 180 paste"
98,Validate Binary Search Tree,Medium,35.7%,BST invariant,Determine whether a binary tree satisfies the strict BST ordering invariant.,https://leetcode.com/problems/validate-binary-search-tree/,validate-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
99,Recover Binary Search Tree,Medium,59.5%,BST recovery,Recover a BST where exactly two node values were swapped by mistake.,https://leetcode.com/problems/recover-binary-search-tree/,recover-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
100,Same Tree,Easy,67.0%,Structural comparison,Check whether two binary trees have identical structure and values.,https://leetcode.com/problems/same-tree/,same-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
101,Symmetric Tree,Easy,61.1%,Structural comparison,Check whether a binary tree is symmetric around its center.,https://leetcode.com/problems/symmetric-tree/,symmetric-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
102,Binary Tree Level Order Traversal,Medium,72.6%,BFS / level traversal,Return the node values of a binary tree level by level from left to right.,https://leetcode.com/problems/binary-tree-level-order-traversal/,binary-tree-level-order-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
103,Binary Tree Zigzag Level Order Traversal,Medium,63.6%,BFS / level traversal,Return level-order values while alternating left-to-right and right-to-left order by level.,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,binary-tree-zigzag-level-order-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
104,Maximum Depth of Binary Tree,Easy,78.1%,Depth / height,Compute the maximum root-to-leaf depth of a binary tree.,https://leetcode.com/problems/maximum-depth-of-binary-tree/,maximum-depth-of-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,68.7%,Construction from traversals,Reconstruct a binary tree from preorder and inorder traversal arrays.,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,construct-binary-tree-from-preorder-and-inorder-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
