family,problem_count,easy,medium,hard,manual_high,heuristic_high,heuristic_medium,heuristic_low,representative_examples,core_state_shape,core_recurrence_shape,notes
Misc / Title-Inferred DP,255,3,127,125,0,0,0,255,264 Ugly Number II; 279 Perfect Squares; 313 Super Ugly Number; 322 Coin Change; 338 Counting Bits; 343 Integer Break; 377 Combination Sum IV; 416 Partition Equal Subset Sum,varies,varies,Title-inferred family; refine later.
Bitmask DP,82,0,39,43,0,82,0,0,294 Flip Game II; 351 Android Unlock Patterns; 458 Poor Pigs; 464 Can I Win; 471 Encode String with Shortest Length; 526 Beautiful Arrangement; 691 Stickers to Spell Word; 750 Number Of Corner Rectangles,dp[mask] or dp[i][mask],add/remove/assign one bit,Exponential but state-compressed.
Grid DP,44,2,20,22,13,31,0,0,62 Unique Paths; 63 Unique Paths II; 64 Minimum Path Sum; 118 Pascal's Triangle; 119 Pascal's Triangle II; 120 Triangle; 174 Dungeon Game; 221 Maximal Square,dp[r][c] or dp[step][...],combine neighbors or synchronized walkers,Grid topology dictates order.
Tree DP,43,1,21,21,8,35,0,0,95 Unique Binary Search Trees II; 96 Unique Binary Search Trees; 124 Binary Tree Maximum Path Sum; 333 Largest BST Subtree; 467 Unique Substrings in Wraparound String; 823 Binary Trees With Factors; 828 Count Unique Characters of All Substrings of a Given String; 834 Sum of Distances in Tree,dfs(node)->tuple states,combine child states,Postorder / reroot.
Counting Combinatorics DP,29,4,12,13,0,21,8,0,70 Climbing Stairs; 91 Decode Ways; 276 Paint Fence; 509 Fibonacci Number; 552 Student Attendance Record II; 634 Find the Derangement of An Array; 639 Decode Ways II; 746 Min Cost Climbing Stairs,dp[size][state],append/insert object and update finite state,Often finite automaton recurrence.
Partition DP,21,0,10,11,0,21,0,0,139 Word Break; 140 Word Break II; 410 Split Array Largest Sum; 418 Sentence Screen Fitting; 472 Concatenated Words; 805 Split Array With Same Average; 983 Minimum Cost For Tickets; 1043 Partition Array for Maximum Sum,dp[i] or dp[i][k],choose previous cut j,Segment-cost precomputation.
Digit DP,20,1,5,14,20,0,0,0,233 Number of Digit One; 357 Count Numbers with Unique Digits; 600 Non-negative Integers without Consecutive Ones; 788 Rotated Digits; 902 Numbers At Most N Given Digit Set; 1012 Numbers With Repeated Digits; 1067 Digit Count in Range; 1397 Find All Good Strings,dp[pos][tight][started][extra],choose next digit,Tight flag and leading zeros.
Palindrome / Substring DP,17,0,6,11,17,0,0,0,5 Longest Palindromic Substring; 131 Palindrome Partitioning; 132 Palindrome Partitioning II; 647 Palindromic Substrings; 1130 Minimum Cost Tree From Leaf Values; 1147 Longest Chunked Palindrome Decomposition; 1216 Valid Palindrome III; 1246 Palindrome Removal,varies,varies,Title-inferred family; refine later.
Kadane / Local-Global DP,15,0,12,3,0,15,0,0,53 Maximum Subarray; 152 Maximum Product Subarray; 918 Maximum Sum Circular Subarray; 978 Longest Turbulent Subarray; 1014 Best Sightseeing Pair; 1186 Maximum Subarray Sum with One Deletion; 1524 Number of Sub-arrays With Odd Sum; 1567 Maximum Length of Subarray With Positive Product,local ending-at-i + global answer,extend or restart,Subarray-local state.
Two-Sequence Alignment DP,14,0,7,7,12,2,0,0,72 Edit Distance; 97 Interleaving String; 115 Distinct Subsequences; 583 Delete Operation for Two Strings; 712 Minimum ASCII Delete Sum for Two Strings; 718 Maximum Length of Repeated Subarray; 727 Minimum Window Subsequence; 940 Distinct Subsequences II,dp[i][j],match/mismatch/delete/insert/skip,Cartesian product of sequence positions.
