problem_id,title,difficulty,acceptance_rate,leetcode_url,primary_family,sub_family,core_reduction,key_primitives,practice_priority,notes,source
95,Unique Binary Search Trees II,Medium,62.4%,https://leetcode.com/problems/unique-binary-search-trees-ii/,"BST construction, reconstruction, and combinatorics",generate all BST shapes,"for every root, cartesian product of left/right generated subtrees","build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",Medium,,"User-provided LeetCode BST list screenshot/text, May 2026"
96,Unique Binary Search Trees,Medium,63.7%,https://leetcode.com/problems/unique-binary-search-trees/,"BST construction, reconstruction, and combinatorics",count Catalan shapes,Catalan DP over root choices,"build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",Medium,,"User-provided LeetCode BST list screenshot/text, May 2026"
98,Validate Binary Search Tree,Medium,35.7%,https://leetcode.com/problems/validate-binary-search-tree/,Inorder stream and sorted-order reasoning,validate via inorder or bounds,BST inorder must be strictly increasing,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
99,Recover Binary Search Tree,Medium,59.5%,https://leetcode.com/problems/recover-binary-search-tree/,Inorder stream and sorted-order reasoning,detect swapped inversions,two misplaced nodes create one or two inversions in inorder stream,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
108,Convert Sorted Array to Binary Search Tree,Easy,75.5%,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,"BST construction, reconstruction, and combinatorics",balanced from sorted array,choose median recursively,"build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",High,,"User-provided LeetCode BST list screenshot/text, May 2026"
109,Convert Sorted List to Binary Search Tree,Medium,66.6%,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,"BST construction, reconstruction, and combinatorics",balanced from sorted list,consume sorted list during inorder construction or split by middle,"build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",High,,"User-provided LeetCode BST list screenshot/text, May 2026"
173,Binary Search Tree Iterator,Medium,76.4%,https://leetcode.com/problems/binary-search-tree-iterator/,Inorder stream and sorted-order reasoning,lazy inorder iterator,simulate inorder call stack,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
230,Kth Smallest Element in a BST,Medium,76.8%,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Inorder stream and sorted-order reasoning,kth inorder item,consume k nodes from inorder stream,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
235,Lowest Common Ancestor of a Binary Search Tree,Medium,70.5%,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,BST navigation and pointer mutation,ordered LCA,first split point between p and q is LCA,compare-and-branch; min/max; deleteMin; trim/split recursion; pointer reconnect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
255,Verify Preorder Sequence in Binary Search Tree,Medium,51.8%,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree/,Unclassified,,,,Medium,,"User-provided LeetCode BST list screenshot/text, May 2026"
270,Closest Binary Search Tree Value,Easy,49.2%,https://leetcode.com/problems/closest-binary-search-tree-value/,Inorder stream and sorted-order reasoning,closest during descent,keep best candidate while descending,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
272,Closest Binary Search Tree Value II,Hard,61.2%,https://leetcode.com/problems/closest-binary-search-tree-value-ii/,Inorder stream and sorted-order reasoning,predecessor/successor streams,"initialize predecessor and successor stacks, expand closest side",inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
285,Inorder Successor in BST,Medium,51.2%,https://leetcode.com/problems/inorder-successor-in-bst/,Inorder stream and sorted-order reasoning,successor,successor is next greater key,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
333,Largest BST Subtree,Medium,45.9%,https://leetcode.com/problems/largest-bst-subtree/,Postorder BST certificate / tree DP,largest BST subtree,"subtree returns validity, min, max, size",postorder certificate; min/max bounds; global best update,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
426,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,65.6%,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/,Inorder stream and sorted-order reasoning,inorder circular DLL,append inorder nodes into circular doubly linked list,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
449,Serialize and Deserialize BST,Medium,59.6%,https://leetcode.com/problems/serialize-and-deserialize-bst/,"BST construction, reconstruction, and combinatorics",compact BST serialization,preorder is enough for BST because bounds recover shape,"build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",High,,"User-provided LeetCode BST list screenshot/text, May 2026"
450,Delete Node in a BST,Medium,54.6%,https://leetcode.com/problems/delete-node-in-a-bst/,BST navigation and pointer mutation,delete with successor/min splice,"find key, replace with successor/predecessor, reconnect subtrees",compare-and-branch; min/max; deleteMin; trim/split recursion; pointer reconnect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
501,Find Mode in Binary Search Tree,Easy,58.9%,https://leetcode.com/problems/find-mode-in-binary-search-tree/,Inorder stream and sorted-order reasoning,mode in sorted stream,equal values appear contiguously in inorder stream,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
