problem_id,title,difficulty,acceptance_percent,leetcode_url,primary_family,subfamily,canonical_reduction,primary_primitives,proof_style,approach_kind,series_or_ladder,practice_priority,notes_traps,classification_confidence
11,Container With Most Water,Medium,60.0,https://leetcode.com/problems/container-with-most-water/,Two-pointer geometry greedy,Container/max area,Move the smaller wall because the larger wall cannot compensate for shrinking width on that side.,pair extremes; dominance skip; two pointers,dominance / contradiction,pure greedy + two pointers,Container / two-pointer area,High,Do not move the taller side first; it cannot improve area with reduced width.,manual-high
44,Wildcard Matching,Hard,31.9,https://leetcode.com/problems/wildcard-matching/,DP boundary / wildcard matching,Wildcard automaton,"Greedy star backtracking works for wildcard matching, but canonical reasoning is DP/automaton fallback.",star checkpoint; backtrack to last star; two pointers,stays-ahead with fallback / DP boundary,greedy + backtracking or DP,Wildcard/string matching,Medium,This is not a normal local greedy; the star checkpoint is the key state.,manual-high
45,Jump Game II,Medium,42.8,https://leetcode.com/problems/jump-game-ii/,Jump / reachability frontier,Minimum jumps,Scan current BFS-like layer and commit a jump when the current frontier ends.,reachable frontier; farthest next frontier; layer boundary,stays-ahead,pure greedy,Jump Game,Very High,Separate current_end from farthest; increment jumps only at boundary.,manual-high
55,Jump Game,Medium,40.8,https://leetcode.com/problems/jump-game/,Jump / reachability frontier,Reachability,Maintain farthest reachable index; fail if index exceeds frontier.,reachable frontier; monotone max reach,stays-ahead,pure greedy,Jump Game,Very High,"Greedy is feasibility, not path construction.",manual-high
122,Best Time to Buy and Sell Stock II,Medium,71.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Stock / transaction greedy-DP boundary,Unlimited transactions,Sum all positive adjacent gains; every increasing run can be decomposed into daily profits.,positive delta accumulation; local valley-peak compression,exchange / decomposition,pure greedy,Stock,Very High,Greedy works only for unlimited transactions without cooldown or k cap.,manual-high
134,Gas Station,Medium,47.9,https://leetcode.com/problems/gas-station/,Resource surplus / circular feasibility,Gas station,"If total surplus is nonnegative, reset start after every negative prefix.",running surplus; reset candidate start; total feasibility,prefix deficit / stays-ahead,pure greedy,Gas station / circular surplus,Very High,A failed prefix proves no station inside that segment can start.,manual-high
135,Candy,Hard,48.4,https://leetcode.com/problems/candy/,Two-pass local constraint repair,Candy distribution,"Satisfy left-neighbor constraint, then right-neighbor constraint, combine by max.",prefix repair; suffix repair; local inequality constraints,local constraint dominance,greedy + two passes,Candy / local constraints,High,One pass misses opposite slope constraints.,manual-high
179,Largest Number,Medium,43.0,https://leetcode.com/problems/largest-number/,Comparator sorting greedy,Largest concatenated number,Sort strings by pairwise concatenation order a+b vs b+a.,custom comparator; sorted commit order,exchange argument,sorting greedy,Lexicographic / ordering,High,Numeric sort is wrong; comparator must compare concatenations.,manual-high
253,Meeting Rooms II,Medium,52.7,https://leetcode.com/problems/meeting-rooms-ii/,Interval heap / active set,Meeting Rooms II,Sort by start; min-heap active end times counts concurrent rooms.,sort by start; active intervals min-heap,sweep-line invariant,greedy + heap,Interval,High,"Different from interval scheduling; this counts overlaps, not max non-overlap.",manual-high
280,Wiggle Sort,Medium,68.4,https://leetcode.com/problems/wiggle-sort/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
316,Remove Duplicate Letters,Medium,53.2,https://leetcode.com/problems/remove-duplicate-letters/,Lexicographic monotonic stack,Remove duplicate letters,Maintain smallest stack while preserving ability to include every needed char.,monotonic stack; remaining count; used set,exchange / feasibility preservation,greedy + monotonic stack,Lexicographic deletion,Very High,Pop only if the popped character appears later.,manual-high
321,Create Maximum Number,Hard,35.4,https://leetcode.com/problems/create-maximum-number/,Lexicographic monotonic stack,Create maximum number,"Pick max subsequence from each array, then lexicographically merge.",monotonic subsequence; split enumeration; lexicographic merge,exchange + exhaustive split,greedy + enumeration,Lexicographic deletion,High,Hard part is lexicographic suffix comparison during merge.,manual-high
324,Wiggle Sort II,Medium,37.4,https://leetcode.com/problems/wiggle-sort-ii/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
330,Patching Array,Hard,54.3,https://leetcode.com/problems/patching-array/,Coverage / patching,Patching array,"Maintain [1, miss) coverage; if next num <= miss extend, else patch miss.",coverage frontier; smallest missing positive; extend range,stays-ahead,pure greedy,Coverage / patching,Very High,Core invariant: all sums below miss are already constructible.,manual-high
334,Increasing Triplet Subsequence,Medium,39.4,https://leetcode.com/problems/increasing-triplet-subsequence/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Medium,Review exact statement; this row is inferred from title.,heuristic
358,Rearrange String k Distance Apart,Hard,40.0,https://leetcode.com/problems/rearrange-string-k-distance-apart/,Frequency scheduling / cooldown,Rearrange string k distance apart,Always use highest-frequency currently available char while respecting cooldown.,max-heap; cooldown queue; frequency counts,exchange / availability,greedy + heap,Task scheduling / cooldown,High,Need cooldown release timing; just sorting frequencies is insufficient.,manual-high
376,Wiggle Subsequence,Medium,49.4,https://leetcode.com/problems/wiggle-subsequence/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Medium,Review exact statement; this row is inferred from title.,heuristic
397,Integer Replacement,Medium,37.5,https://leetcode.com/problems/integer-replacement/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy / DP-boundary,Greedy-DP boundary,Medium,Review exact statement; this row is inferred from title. Greedy tag may be misleading; compare against DP/game formulation.,heuristic
402,Remove K Digits,Medium,36.8,https://leetcode.com/problems/remove-k-digits/,Lexicographic monotonic stack,Remove K Digits,Delete previous larger digit when a smaller digit arrives while deletions remain.,monotonic increasing stack; deletion budget,exchange argument,greedy + monotonic stack,Lexicographic deletion,Very High,Strip leading zeros; if k remains delete suffix.,manual-high
409,Longest Palindrome,Easy,56.0,https://leetcode.com/problems/longest-palindrome/,Palindrome construction / counting,"Use counts, center choice, or two-pointer repair",Use frequency parity or symmetric two-pointer operations to maximize/minimize palindrome construction.,frequency counts; parity invariant; pair from extremes; center choice,parity invariant / exchange,counting greedy or two-pointer greedy,Palindrome,Low,Review exact statement; this row is inferred from title.,heuristic
410,Split Array Largest Sum,Hard,60.4,https://leetcode.com/problems/split-array-largest-sum/,Binary search + greedy feasibility,Split array largest sum,Binary search max bucket sum; greedily count required subarrays.,feasibility predicate; partition count; monotone answer,feasibility monotonicity,binary search + greedy,Partition / binary search,High,Optimization is not pure greedy; greedy is only the check.,manual-high
420,Strong Password Checker,Hard,15.8,https://leetcode.com/problems/strong-password-checker/,Frequency / counting / string construction,"Counts, buckets, cooldown, or repeat limits",Use counts to construct a feasible/maximal object while preserving future availability.,frequency map; bucket ordering; cooldown; repeat-limit breaker; remaining demand,exchange / feasibility preservation,greedy + counting/heap / DP-boundary,Frequency/String,High,Review exact statement; this row is inferred from title. Greedy tag may be misleading; compare against DP/game formulation.,heuristic
435,Non-overlapping Intervals,Medium,57.1,https://leetcode.com/problems/non-overlapping-intervals/,Interval scheduling,Erase overlaps,Sort by end; keep earliest-ending compatible interval.,sort by end; last_end; count conflicts,exchange argument,pure greedy,Interval,Very High,Sorting by start is a common wrong solution.,manual-high
452,Minimum Number of Arrows to Burst Balloons,Medium,61.4,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,Interval stabbing,Arrows to burst balloons,Sort by end; shoot at current end; consume all intervals containing it.,sort by end; stabbing point; last_arrow,exchange argument,pure greedy,Interval,Very High,Closed interval boundary matters.,manual-high
455,Assign Cookies,Easy,54.9,https://leetcode.com/problems/assign-cookies/,Pairing / matching,Assign cookies,Give smallest sufficient cookie to least-greedy child.,sort both; smallest sufficient resource; two pointers,exchange argument,pure greedy,Pairing / matching,Very High,Do not waste large cookies on small demands if small cookies fit.,manual-high
484,Find Permutation,Medium,66.9,https://leetcode.com/problems/find-permutation/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
502,IPO,Hard,53.5,https://leetcode.com/problems/ipo/,Heap greedy / capital unlocking,IPO,Sort projects by capital; max-heap profits among currently affordable projects.,available candidates heap; unlock by resource; choose max gain,deferred greedy,greedy + heap,Heap-greedy,Very High,Heap represents all choices that are safe now; unavailable projects wait.,manual-high
517,Super Washing Machines,Hard,44.3,https://leetcode.com/problems/super-washing-machines/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy / DP-boundary,Greedy-DP boundary,High,Review exact statement; this row is inferred from title. Greedy tag may be misleading; compare against DP/game formulation.,heuristic
527,Word Abbreviation,Hard,62.7,https://leetcode.com/problems/word-abbreviation/,Frequency / counting / string construction,"Counts, buckets, cooldown, or repeat limits",Use counts to construct a feasible/maximal object while preserving future availability.,frequency map; bucket ordering; cooldown; repeat-limit breaker; remaining demand,exchange / feasibility preservation,greedy + counting/heap / DP-boundary,Frequency/String,High,Review exact statement; this row is inferred from title. Greedy tag may be misleading; compare against DP/game formulation.,heuristic
555,Split Concatenated Strings,Medium,43.6,https://leetcode.com/problems/split-concatenated-strings/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
561,Array Partition,Easy,81.7,https://leetcode.com/problems/array-partition/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Low,Review exact statement; this row is inferred from title.,heuristic
