primary_family,count,example_problems,approach_kinds,series_or_ladders
Sorting / choice greedy,101,280. Wiggle Sort; 324. Wiggle Sort II; 397. Integer Replacement; 517. Super Washing Machines; 605. Can Place Flowers; 625. Minimum Factorization; 649. Dota2 Senate; 768. Max Chunks To Make Sorted II,pure greedy or sorting greedy; pure greedy or sorting greedy / DP-boundary,Greedy-DP boundary
Array transformation / partition greedy,52,334. Increasing Triplet Subsequence; 376. Wiggle Subsequence; 581. Shortest Unsorted Continuous Subarray; 624. Maximum Distance in Arrays; 945. Minimum Increment to Make Array Unique; 1144. Decrease Elements To Make Array Zigzag; 1330. Reverse Subarray To Maximize Array Value; 1338. Reduce Array Size to The Half,greedy or greedy-DP boundary; greedy or greedy-DP boundary / DP-boundary,Array partition/transformation
Numeric / bitwise greedy,50,1005. Maximize Sum Of Array After K Negations; 1013. Partition Array Into Three Parts With Equal Sum; 1262. Greatest Sum Divisible by Three; 1414. Find the Minimum Number of Fibonacci Numbers Whose Sum Is K; 1465. Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts; 1509. Minimum Difference Between Largest and Smallest Value in Three Moves; 1567. Maximum Length of Subarray With Positive Product; 1589. Maximum Sum Obtained of Any Permutation,numeric greedy / bit greedy / hybrid; numeric greedy / bit greedy / hybrid / DP-boundary,Numeric / bitwise
Lexicographic / monotonic construction,38,484. Find Permutation; 555. Split Concatenated Strings; 670. Maximum Swap; 738. Monotone Increasing Digits; 942. DI String Match; 1053. Previous Permutation With One Swap; 1328. Break a Palindrome; 1363. Largest Multiple of Three,greedy + monotonic stack / sorting,Lexicographic Greedy
Frequency / counting / string construction,33,420. Strong Password Checker; 527. Word Abbreviation; 984. String Without AAA or BBB; 1055. Shortest Way to Form String; 1221. Split a String in Balanced Strings; 1405. Longest Happy String; 1433. Check If a String Can Break Another String; 1585. Check If String Is Transformable With Substring Sort Operations,greedy + counting/heap; greedy + counting/heap / DP-boundary,Frequency/String
Pairing / matching / delta sorting,30,561. Array Partition; 611. Valid Triangle Number; 765. Couples Holding Hands; 954. Array of Doubled Pairs; 976. Largest Perimeter Triangle; 1007. Minimum Domino Rotations For Equal Row; 1247. Minimum Swaps to Make Strings Equal; 1296. Divide Array in Sets of K Consecutive Numbers,pure greedy + sorting/two pointers,Pairing / matching
Interval / coverage / scheduling,19,621. Task Scheduler; 1520. Maximum Number of Non-Overlapping Substrings; 1546. Maximum Number of Non-Overlapping Subarrays With Sum Equals Target; 1665. Minimum Initial Energy to Finish Tasks; 1717. Maximum Score From Removing Substrings; 1794. Count Pairs of Equal Substrings With Minimum Difference; 2244. Minimum Rounds to Complete All Tasks; 2271. Maximum White Tiles Covered by a Carpet,"greedy, greedy + heap, or binary search + greedy; greedy, greedy + heap, or binary search + greedy / DP-boundary",Interval / scheduling / coverage
Binary search + greedy feasibility,18,410. Split Array Largest Sum; 1802. Maximum Value at a Given Index in a Bounded Array; 2064. Minimized Maximum of Products Distributed to Any Store; 2141. Maximum Running Time of N Computers; 2234. Maximum Total Beauty of the Gardens; 2439. Minimize Maximum of Array; 2517. Maximum Tastiness of Candy Basket; 2560. House Robber IV,binary search + greedy; binary search + greedy / DP-boundary,Binary search on answer; Partition / binary search
Constructive matrix/tree/graph greedy,17,861. Score After Flipping Matrix; 955. Delete Columns to Make Sorted II; 1253. Reconstruct a 2-Row Binary Matrix; 1536. Minimum Swaps to Arrange a Binary Grid; 1605. Find Valid Matrix Given Row and Column Sums; 1727. Largest Submatrix With Rearrangements; 1975. Maximum Matrix Sum; 2087. Minimum Cost Homecoming of a Robot in a Grid,constructive greedy / hybrid; constructive greedy / hybrid / DP-boundary,Constructive structures
Heap greedy / deferred choice,10,826. Most Profit Assigning Work; 1054. Distant Barcodes; 1199. Minimum Time to Build Blocks; 1648. Sell Diminishing-Valued Colored Balls; 2530. Maximal Score After Applying K Operations; 2895. Minimum Processing Time; 2931. Maximum Spending After Buying Items; 3296. Minimum Number of Seconds to Make Mountain Height Zero,greedy + heap,Heap-greedy
Jump / reachability frontier,9,45. Jump Game II; 55. Jump Game; 1824. Minimum Sideway Jumps; 1936. Add Minimum Number of Rungs; 2498. Frog Jump II; 3205. Maximum Array Hopping Score I; 3221. Maximum Array Hopping Score II; 3282. Reach End of Array With Max Score,greedy frontier or hybrid; greedy frontier or hybrid / DP-boundary; pure greedy,Jump Game
Palindrome construction / counting,9,409. Longest Palindrome; 680. Valid Palindrome II; 1147. Longest Chunked Palindrome Decomposition; 1400. Construct K Palindrome Strings; 2131. Longest Palindrome by Concatenating Two Letter Words; 2193. Minimum Number of Moves to Make Palindrome; 3035. Maximum Palindromes After Operations; 3088. Make String Anti-palindrome,counting greedy or two-pointer greedy; counting greedy or two-pointer greedy / DP-boundary,Palindrome
