problem_id,title,difficulty,acceptance_rate_if_available,inferred_family,subfamily,state_shape,recurrence_shape,evaluation_order,transition_cost,likely_time_complexity,likely_space_complexity,top_down_or_bottom_up_preferred,optimization_primitives,representative_or_not,confidence,notes
5,Longest Palindromic Substring,Medium,37.8%,Palindrome / Substring DP,Palindrome substring center/table DP,dp[l][r] boolean or radius around center,chars match and inner substring valid,increasing length or center expansion,O(1),O(n^2),O(n^2)/O(1),bottom-up or center expansion,center expansion; boolean table,representative,manual-high,Substring means contiguous; do not confuse with subsequence.
10,Regular Expression Matching,Hard,30.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
22,Generate Parentheses,Medium,78.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
32,Longest Valid Parentheses,Hard,38.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
42,Trapping Rain Water,Hard,67.3%,Greedy-DP Boundary,Prefix/suffix extrema / two-pointer boundary,prefix max and suffix max per index,"water at i depends on min(leftmax,rightmax)",left/right scan,O(1),O(n),O(1),two-pointer or prefix/suffix DP,prefix/suffix arrays; two pointers,non-representative / later refinement,heuristic-high,DP-tagged but commonly solved by prefix/suffix or two pointers.
44,Wildcard Matching,Hard,31.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
45,Jump Game II,Medium,42.8%,Greedy-DP Boundary,Jump frontier / reachability DP boundary,reachable index or dp[i] min jumps/score,extend reachable frontier or choose best previous jump,left-to-right or graph order,varies,O(n) greedy to O(n log n)/O(nk) DP,varies,greedy if frontier monotone; DP if scores/constraints,"frontier, BFS layers, deque",representative,manual-high,"Jump series crosses greedy, DP, deque DP, and graph interpretations."
53,Maximum Subarray,Medium,53.3%,Kadane / Local-Global DP,Local/global subarray DP,local state ending at i + global answer,extend previous subarray or restart / update transformed state,left-to-right,O(1),O(n),O(1),bottom-up scan,track min/max product; prefix extrema,non-representative / later refinement,heuristic-high,Subarray means contiguous; usually local state ending here is the key.
55,Jump Game,Medium,40.8%,Greedy-DP Boundary,Jump frontier / reachability DP boundary,reachable index or dp[i] min jumps/score,extend reachable frontier or choose best previous jump,left-to-right or graph order,varies,O(n) greedy to O(n log n)/O(nk) DP,varies,greedy if frontier monotone; DP if scores/constraints,"frontier, BFS layers, deque",representative,manual-high,"Jump series crosses greedy, DP, deque DP, and graph interpretations."
62,Unique Paths,Medium,66.8%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,representative,manual-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
63,Unique Paths II,Medium,44.5%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,representative,manual-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
64,Minimum Path Sum,Medium,68.2%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,representative,manual-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
70,Climbing Stairs,Easy,54.1%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,representative,heuristic-high,Counting DP often uses finite automaton states.
72,Edit Distance,Medium,60.5%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,representative,manual-high,Product state space of two sequence positions.
85,Maximal Rectangle,Hard,58.7%,Grid DP + Monotonic Stack,Maximal rectangle via histogram rows,height[j] consecutive ones ending at row,update heights then largest rectangle histogram,row-major,O(n) stack per row,O(mn),O(n),bottom-up,monotonic stack,representative,manual-high,Good example of DP composing with stack primitive.
87,Scramble String,Hard,44.5%,Substring / Interval DP,Recursive string partition / scramble,dp[i][j][length],choose split and orientation,increasing substring length,O(n) splits,O(n^4),O(n^3),top-down memo or bottom-up by length,prune by char counts,non-representative / later refinement,heuristic-high,Two substrings + length interval DP.
91,Decode Ways,Medium,37.9%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
95,Unique Binary Search Trees II,Medium,62.4%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
96,Unique Binary Search Trees,Medium,63.7%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
97,Interleaving String,Medium,44.0%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,representative,manual-high,Product state space of two sequence positions.
115,Distinct Subsequences,Hard,51.8%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,representative,manual-high,Product state space of two sequence positions.
118,Pascal's Triangle,Easy,78.9%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
119,Pascal's Triangle II,Easy,67.4%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
120,Triangle,Medium,59.9%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,representative,manual-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
121,Best Time to Buy and Sell Stock,Easy,56.7%,Stock State-Machine DP,Stock I: one transaction,dp[day][holding][transaction/cooldown/fee state],buy / sell / hold / rest transitions,increasing day,O(number of legal actions per state),O(n * state_count),O(state_count),bottom-up state machine,state compression; greedy if unconstrained,representative,manual-high,Use holding/not-holding as the irreducible state axis; constraints add dimensions or shifted transitions.
122,Best Time to Buy and Sell Stock II,Medium,71.0%,Stock State-Machine DP,Stock II: unlimited transactions / greedy boundary,dp[day][holding][transaction/cooldown/fee state],buy / sell / hold / rest transitions,increasing day,O(number of legal actions per state),O(n * state_count),O(state_count),bottom-up state machine,state compression; greedy if unconstrained,representative,manual-high,Use holding/not-holding as the irreducible state axis; constraints add dimensions or shifted transitions.
123,Best Time to Buy and Sell Stock III,Hard,53.6%,Stock State-Machine DP,Stock III: at most two transactions,dp[day][holding][transaction/cooldown/fee state],buy / sell / hold / rest transitions,increasing day,O(number of legal actions per state),O(n * state_count),O(state_count),bottom-up state machine,state compression; greedy if unconstrained,representative,manual-high,Use holding/not-holding as the irreducible state axis; constraints add dimensions or shifted transitions.
124,Binary Tree Maximum Path Sum,Hard,42.3%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,representative,manual-high,Tree edges define dependency DAG from children to parent or reroot passes.
131,Palindrome Partitioning,Medium,74.0%,Palindrome / Substring DP,Palindrome partition/check DP,dp[i] plus palindrome table or dp[l][r],cut at valid palindrome boundary,increasing end index / length,O(n),O(n^2),O(n^2),bottom-up,precompute palindrome table,representative,manual-high,Often composes palindrome table + partition DP.
132,Palindrome Partitioning II,Hard,37.0%,Palindrome / Substring DP,Palindrome partition/check DP,dp[i] plus palindrome table or dp[l][r],cut at valid palindrome boundary,increasing end index / length,O(n),O(n^2),O(n^2),bottom-up,precompute palindrome table,representative,manual-high,Often composes palindrome table + partition DP.
139,Word Break,Medium,49.4%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
140,Word Break II,Hard,55.5%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
152,Maximum Product Subarray,Medium,36.4%,Kadane / Local-Global DP,Local/global subarray DP,local state ending at i + global answer,extend previous subarray or restart / update transformed state,left-to-right,O(1),O(n),O(1),bottom-up scan,track min/max product; prefix extrema,non-representative / later refinement,heuristic-high,Subarray means contiguous; usually local state ending here is the key.
174,Dungeon Game,Hard,41.3%,Grid DP,Reverse grid health requirement DP,dp[r][c] = min health needed entering cell,min of right/down successor adjusted by cell value,reverse row-major from bottom-right,O(1),O(mn),O(n),bottom-up reverse,rolling row,representative,manual-high,Direction is reversed because requirement depends on future survival.
188,Best Time to Buy and Sell Stock IV,Hard,50.1%,Stock State-Machine DP,Stock IV: at most k transactions,dp[day][holding][transaction/cooldown/fee state],buy / sell / hold / rest transitions,increasing day,O(number of legal actions per state),O(n * state_count),O(state_count),bottom-up state machine,state compression; greedy if unconstrained,representative,manual-high,Use holding/not-holding as the irreducible state axis; constraints add dimensions or shifted transitions.
198,House Robber,Medium,53.2%,House Robber / Weighted Independent Set,Path MWIS / take-skip prefix,dp[i] = best answer on nums[:i],skip current vs take current + dp[i-2],increasing i,O(1),O(n),O(1),bottom-up,rolling two variables,representative,manual-high,Canonical take-or-skip DP on a path graph.
213,House Robber II,Medium,44.9%,House Robber / Weighted Independent Set,Cycle path reduction,dp over two path ranges: exclude first or exclude last,take-or-skip adjacent element,left-to-right over each linear path,O(1),O(n),O(1),bottom-up,rolling two variables,representative,manual-high,Cycle breaks into two path robber runs.
221,Maximal Square,Medium,50.3%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
233,Number of Digit One,Hard,38.6%,Digit DP,Digit tight-state DP,dp[pos][tight][started][extra_state],choose next digit respecting tight bound,left-to-right over digits,O(10 * extra_state),O(num_digits * states * 10),O(states),top-down memo usually,tight flag; leading-zero handling,representative,manual-high,Carefully separate started/leading zeros and tight/non-tight states.
241,Different Ways to Add Parentheses,Medium,73.3%,Interval DP,Split-point interval DP,dp[l][r] over interval,choose split/boundary action k,increasing interval length,O(n) split choices,O(n^3) typical,O(n^2),bottom-up by interval length or top-down memo,prefix sums; augmented boundaries; Knuth/monotone if valid,non-representative / later refinement,heuristic-high,"Classic interval DP: if both prefix and suffix seem needed, use intervals."
256,Paint House,Medium,64.4%,1D Prefix/Suffix DP,Color-state rolling DP,dp[i][color],choose color different from previous; min cost,increasing house index,O(colors^2) or optimized O(colors),O(n*colors),O(colors),bottom-up,track min/second-min for Paint House II,representative,manual-high,State axis is previous/current color.
264,Ugly Number II,Medium,49.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
265,Paint House II,Hard,57.1%,1D Prefix/Suffix DP,Color-state rolling DP,dp[i][color],choose color different from previous; min cost,increasing house index,O(colors^2) or optimized O(colors),O(n*colors),O(colors),bottom-up,track min/second-min for Paint House II,representative,manual-high,State axis is previous/current color.
276,Paint Fence,Medium,48.4%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
279,Perfect Squares,Medium,56.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
294,Flip Game II,Medium,52.3%,Bitmask DP,Game minimax over used choices,dp[mask] = winning/score state,current player chooses an unused move,increasing mask size or memo DFS,O(n),O(n*2^n),O(2^n),top-down memo,bitmask encoding,non-representative / later refinement,heuristic-high,Finite impartial/choice game; mask encodes remaining moves.
